,Ngày: ,Doanh thu Affilicate (nghìn đồng),Doanh thu cửa hàng (nghìn đồng),Đơn giá bình quân (nghìn đồng),Lượt bán (nghìn lượt),Doanh thu tài khoản tự vận hành (nghìn đồng)
0,2024-08-10,1410000.0,1940.0,118.91,12.35,10440.0
1,2024-08-11,1470000.0,6770.0,119.14,13.32,12500.0
2,2024-08-12,1340000.0,3130.0,104.27,13.5,13060.0
3,2024-08-13,1790000.0,829.85,117.69,15.97,16180.0
4,2024-08-14,1610000.0,0.0,114.85,14.81,17820.0
5,2024-08-15,1780000.0,1370000.0,114.68,28.35,24310.0
6,2024-08-16,1360000.0,550.68,88.45,16.14,27180.0
7,2024-08-17,1510000.0,2240.0,99.19,16.46,27210.0
8,2024-08-18,1090000.0,277.33,85.92,13.65,13670.0
9,2024-08-19,1560000.0,333.37,97.1,17.01,19440.0
10,2024-08-20,1130000.0,138.42,84.37,14.14,16180.0
11,2024-08-21,1360000.0,734.76,107.54,13.28,19850.0
12,2024-08-22,1260000.0,192.21,100.15,13.43,30490.0
13,2024-08-23,1160000.0,456.41,99.74,12.28,14570.0
14,2024-08-24,1140000.0,176.16,98.57,12.35,19820.0
15,2024-08-25,7770000.0,0.0,94.8,8.78,26990.0
16,2024-08-26,9640000.0,0.0,98.44,10.36,18710.0
17,2024-08-27,1120000.0,1020000.0,95.91,12.57,34350.0
18,2024-08-28,9490000.0,1240000.0,110.83,9.4,34600.0
19,2024-08-29,1450000.0,11380000.0,85.77,17.82,20440.0
20,2024-08-30,1070000.0,554.77,91.08,12.81,38430.0
21,2024-08-31,1070000.0,139.7,91.33,12.45,26340.0
22,2024-09-01,9290000.0,0.0,90.78,11.06,13330.0
23,2024-09-02,7830000.0,442.21,95.46,8.83,10730.0
24,2024-09-03,1400000.0,1740000.0,93.68,16.41,19390.0
25,2024-09-04,1450000.0,0.0,107.94,15.01,41880.0
26,2024-09-05,1670000.0,8850000.0,109.51,16.85,25640.0
27,2024-09-06,1330000.0,0.0,98.83,14.57,28140.0
28,2024-09-07,1010000.0,0.0,96.8,10.99,18580.0
